"Part","Value","Device","Package","Description","MOUSER","SPICEMODEL","SPICEPREFIX","SPICETYPE","VALUE"
"BAT1","6-15V","BH-9VPC","BH9VPC","These specs, though the battery holder is imprinted with BH-9VPC, match the specs of part number 12BH611-GR.","","","","",""
"BINAURAL","BINAURAL","JP1E","JP1","JUMPER","","","","",""
"C1","0.01uF","C-EU050-024X044","C050-024X044","CAPACITOR, European symbol","","","","",""
"C2","0.1uF","C-EU050-024X044","C050-024X044","CAPACITOR, European symbol","","","","",""
"C3","10uF","CPOL-USE2.5-7","E2,5-7","POLARIZED CAPACITOR, American symbol","","","","",""
"C4","0.1uF","C-EU050-024X044","C050-024X044","CAPACITOR, European symbol","","","","",""
"C5","0.01uF","C-EU050-024X044","C050-024X044","CAPACITOR, European symbol","","","","",""
"C6","0.1uF","C-EU050-024X044","C050-024X044","CAPACITOR, European symbol","","","","",""
"C7","0.1uF","C-EU050-024X044","C050-024X044","CAPACITOR, European symbol","","","","",""
"C8","0.01uF","CPOL-USE2.5-7","E2,5-7","POLARIZED CAPACITOR, American symbol","","","","",""
"D1","BAT43","SCHOTTKY-DIODEDO35-7","DO35-7","Schottky Diode","","","","",""
"D2","BAT43","SCHOTTKY-DIODEDO35-7","DO35-7","Schottky Diode","","","","",""
"DCJACK","PJ102A","PJ102A","PJ-102A","","","","","",""
"IC1","LM555N","LM555N","DIL08","TIMER","","","","",""
"IC2","LM555N","LM555N","DIL08","TIMER","","","","",""
"JP1","M01PTH","M01PTH","1X01","Header 1","","","","",""
"LED1","RED","LED_ELD260","LED_LD260","LED","","NONE","D","diode",""
"LINE","SJ-3523-SMT","SJ-3523-SMT","SJ352_AUDIOJACK","CUI inc Stereo Audio SMT jack, 3.5mm","","","","",""
"MOD","0.1" Jumper","M03LOCK","1X03_LOCK","Header 3","","","","",""
"R2","1K","R-US_0207/10","0207/10","RESISTOR, American symbol","","","","",""
"R3","","CTS_UM296RE_SERIES_POTENTIOMETERUM296RE","UM296RE_POTENTIOMETER","CTS UM296 RE rotary potentiometer / rheostat / varistor / variable resistor.","","","","",""
"R4","","CTS_UM296RE_SERIES_POTENTIOMETERUM296RE","UM296RE_POTENTIOMETER","CTS UM296 RE rotary potentiometer / rheostat / varistor / variable resistor.","","","","",""
"R5","","CTS_UM296RE_SERIES_POTENTIOMETERUM296RE","UM296RE_POTENTIOMETER","CTS UM296 RE rotary potentiometer / rheostat / varistor / variable resistor.","","","","",""
"R6","220R","R-US_0207/10","0207/10","RESISTOR, American symbol","","","","",""
"SWITCH","MS108-1MD3T1B1M2QE-EVX","MS108-1MD3T1B1M2QE-EVX","MS108-1MD3T1B1M2QE-EVX","Mountain Switch Toggle DPDT model 108-1MD3T1B1M2QE-EVX","108-1MD3T1B1M2QE-EVX","","","",""
"TOUCHPAD1","TOUCHPAD","JP1E","JP1","JUMPER","","","","",""
"TOUCHPAD2","TOUCHPAD","JP1E","JP1","JUMPER","","","","",""
